P&L
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Revenue,14600000,17888000,21713119,32067993,41255543,49337295,52373655,54468601,56647345,58913239
Expenses,9636000,11634880,14271491,21438344,27503210,32479956,34106307,35129496,36183381,37268883
Operating Income,4964000,6253120,7441628,10629649,13752333,16857339,18267348,19339105,20463964,21644356

DEBT SERVICE
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
FCL (Lettuce) Int,310704,253066,191188,124758,53441,1610,0,0,0,0
FCL (Lettuce) Prin,783436,841074,902952,969382,1040699,180746,0,0,0,0
BIPAH (Property) Int,291886,283482,274515,264947,254739,243847,232226,219827,206597,192481
BIPAH (Property) Prin,125486,133890,142857,152424,162633,173524,185146,197545,210775,224891
JJB Downpayment Int,37500,31044,24103,16643,8622,0,0,0,0,0
JJB Downpayment Prin,86082,92539,99479,106940,114960,0,0,0,0,0
Total Interest,643023,567592,489807,406348,316802,245458,232226,219827,206597,192481
Total Principal,1046906,1067502,1145288,1228746,1318292,354271,185146,197545,210775,224891
Total DS,1689929,1635094,1635094,1635094,1635094,599729,417372,417372,417372,417372
Capex Reserve,292000,357760,434262,641360,825111,986746,1047473,1089372,1132947,1178265
Distributable Cash,2982071,4260266,5372271,8353195,11292128,15270865,16802503,17832361,18913645,20048720

TAX DETAIL
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Taxable Inc,4320977,5685528,6951821,10223301,13435531,16611882,18035122,19119278,20257367,21451876
Fed Depr,200000,200000,6200000,15400000,7700000,200000,200000,200000,0,0
Fed Taxable,4120977,5485528,751821,-5176699,5735531,16411882,17835122,18919278,20257367,21451876
State Depr,1000000,1000000,1600000,3120000,2870000,2870000,2870000,2870000,2870000,2870000
HI Taxable,3320977,4685528,5351821,7103301,10565531,13741882,15165122,16249278,17387367,18581876
EB Fed Taxable,1071454,1426237,195473,-1345942,1491238,4267089,4637132,4919012,5266915,5577488
NOL Used,600000,0,0,0,0,0,0,0,0,0
EB Net Fed,471454,1426237,195473,0,1491238,4267089,4637132,4919012,5266915,5577488
Fed Tax (EB),104991,451770,32832,0,475821,1502886,1639801,1744097,1872821,1987733
Fed Dist,403813,1737578,126278,0,1830079,5780329,6306928,6708066,7203159,7645127
HI Tax (EB),83737,122763,141819,191912,290931,381775,422480,453487,486036,520199
HI Dist,322066,472167,545459,738122,1118967,1468365,1624922,1744179,1869369,2000765
Tax Liability,725878,2209745,671736,738122,2949046,7248694,7931850,8452245,9072527,9645891
Tax Cash Dist,0,1088818,3322644,1056238,787910,4607239,10473431,8444216,8842541,9537740

WATERFALL
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Distributable Cash,2982071,4260266,5372271,8353195,11292128,15270865,16802503,17832361,18913645,20048720
Tax Dist,0,1088818,3322644,1056238,787910,4607239,10473431,8444216,8842541,9537740
Tier 0,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
Tier 1,500000,600000,750000,750000,750000,750000,750000,750000,750000,750000
T1 Shortfall,0,0,0,0,0,0,0,0,0,0
PE/DD Payments,2182071,498771,0,0,0,0,0,0,0,0
Tier 2,0,1772677,999627,6246957,9454217,9613625,5279072,8338145,9021104,9460980

PE/DD DETAIL
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
PE3 Prin,515000,0,0,0,0,0,0,0,0,0
PE3 Int,180595,0,0,0,0,0,0,0,0,0
PE3 Bal,0,0,0,0,0,0,0,0,0,0
PE1 Prin,1000000,0,0,0,0,0,0,0,0,0
PE1 Int,0,0,0,0,0,0,0,0,0,0
PE1 Bal,0,0,0,0,0,0,0,0,0,0
PE2 Prin,486476,13524,0,0,0,0,0,0,0,0
PE2 Int,0,105247,0,0,0,0,0,0,0,0
PE2 Bal,13524,0,0,0,0,0,0,0,0,0
DD Prin,0,380000,0,0,0,0,0,0,0,0
DD Int,0,0,0,0,0,0,0,0,0,0
DD Bal,380000,0,0,0,0,0,0,0,0,0
T1Short Prin,0,0,0,0,0,0,0,0,0,0
T1Short Int,0,0,0,0,0,0,0,0,0,0
T1Short Bal,0,0,0,0,0,0,0,0,0,0

OWNERSHIP %
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
JJB,41.5,44.5,47.5,50.5,53.5,53.5,53.5,53.5,53.5,53.5
EB,28.0,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.0,31.0
JS,30.5,27.5,24.0,20.5,17.0,16.5,16.0,15.5,15.5,15.5

PARTNER CASH
,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
EB tax_dist,0,304869,946954,306309,232434,1382172,3194396,2617707,2741188,2956699
EB tier_0,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
EB tier_1,140000,168000,213750,217500,221250,225000,228750,232500,232500,232500
EB tier_2,0,496350,284894,1811617,2788994,2884088,1610117,2584825,2796542,2932904
EB total,440000,1269218,1745597,2635427,3542678,4791259,5333263,5735032,6070230,6422103

JS tax_dist,0,299425,797435,216529,133945,760194,1675749,1308853,1370594,1478350
JS tier_1,152500,165000,180000,153750,127500,123750,120000,116250,116250,116250
JS pedd,1091035,249386,0,0,0,0,0,0,0,0
JS tier_2,0,487486,239910,1280626,1607217,1586248,844652,1292412,1398271,1466452
JS equity_buy_sell,0,292500,345000,397500,450000,0,0,0,0,0
JS total,1243535,1493797,1562345,2048405,2318662,2470193,2640400,2717516,2885115,3061052

JJB tax_dist,0,484524,1578256,533400,421532,2464873,5603285,4517656,4730759,5102691
JJB tier_1,207500,267000,356250,378750,401250,401250,401250,401250,401250,401250
JJB pedd,1091035,249386,0,0,0,0,0,0,0,0
JJB tier_2,0,788841,474823,3154713,5058006,5143290,2824304,4460908,4826291,5061624
JJB equity_buy_sell,0,-292500,-345000,-397500,-450000,0,0,0,0,0
